Date,Adj Close
11/16/1994,3.835705
11/17/1994,3.895638
11/18/1994,3.95557
11/21/1994,3.865671
11/22/1994,3.685872
11/23/1994,3.655904
11/25/1994,3.715837
11/28/1994,3.655904
11/29/1994,3.685872
11/30/1994,3.655904
12/1/1994,3.536041
12/2/1994,3.536041
12/5/1994,3.536041
12/6/1994,3.506073
12/7/1994,3.476107
12/8/1994,3.446141
12/9/1994,3.356242
12/12/1994,3.416174
12/13/1994,3.386207
12/14/1994,3.446141
12/15/1994,3.476107
12/16/1994,3.685872
12/19/1994,3.625939
12/20/1994,3.625939
12/21/1994,3.715837
12/22/1994,3.745804
12/23/1994,3.835705
12/27/1994,3.865671
12/28/1994,3.865671
12/29/1994,3.835705
12/30/1994,3.835705
1/3/1995,3.835705
1/4/1995,3.865671
1/5/1995,3.865671
1/6/1995,3.775771
1/9/1995,3.775771
1/10/1995,3.805738
1/11/1995,3.775771
1/12/1995,3.775771
1/13/1995,3.775771
1/16/1995,3.835705
1/17/1995,3.835705
1/18/1995,3.775771
1/19/1995,3.745804
1/20/1995,3.715837
1/23/1995,3.715837
1/24/1995,3.745804
1/25/1995,3.865671
1/26/1995,3.835705
1/27/1995,3.865671
1/30/1995,3.865671
1/31/1995,3.880652
2/1/1995,3.925604
2/2/1995,4.015502
2/3/1995,4.015502
2/6/1995,4.015502
2/7/1995,3.985535
2/8/1995,4.075436
2/9/1995,4.165334
2/10/1995,4.105402
2/13/1995,4.045469
2/14/1995,3.925604
2/15/1995,4.105402
2/16/1995,4.075436
2/17/1995,4.075436
2/21/1995,4.105402
2/22/1995,4.165334
2/23/1995,4.165334
2/24/1995,4.105402
2/27/1995,4.075436
2/28/1995,4.375099
3/1/1995,4.644798
3/2/1995,4.764662
3/3/1995,4.644798
3/6/1995,4.52493
3/7/1995,4.554897
3/8/1995,4.584862
3/9/1995,4.584862
3/10/1995,4.52493
3/13/1995,4.52493
3/14/1995,4.644798
3/15/1995,4.644798
3/16/1995,4.494963
3/17/1995,4.464998
3/20/1995,4.584862
3/21/1995,4.494963
3/22/1995,4.554897
3/23/1995,4.494963
3/24/1995,4.494963
3/27/1995,4.644798
3/28/1995,4.614831
3/29/1995,4.554897
3/30/1995,4.584862
3/31/1995,4.584862
4/3/1995,4.584862
4/4/1995,4.52493
4/5/1995,4.464998
4/6/1995,4.494963
4/7/1995,4.375099
4/10/1995,4.584862
4/11/1995,4.584862
4/12/1995,4.764662
4/13/1995,4.884528
4/17/1995,4.884528
4/18/1995,4.854564
4/19/1995,4.734694
4/20/1995,4.794631
4/21/1995,4.734694
4/24/1995,4.764662
4/25/1995,4.734694
4/26/1995,4.794631
4/27/1995,4.824595
4/28/1995,4.824595
5/1/1995,4.674762
5/2/1995,4.824595
5/3/1995,4.94446
5/4/1995,4.903547
5/5/1995,4.963714
5/8/1995,5.023881
5/9/1995,5.174297
5/10/1995,5.204381
5/11/1995,5.174297
5/12/1995,5.174297
5/15/1995,5.114131
5/16/1995,5.294628
5/17/1995,5.264546
5/18/1995,5.144213
5/19/1995,5.023881
5/22/1995,5.114131
5/23/1995,5.234462
5/24/1995,5.234462
5/25/1995,5.144213
5/26/1995,5.174297
5/30/1995,5.053964
5/31/1995,5.053964
6/1/1995,5.174297
6/2/1995,5.294628
6/5/1995,5.294628
6/6/1995,5.204381
6/7/1995,5.084047
6/8/1995,5.053964
6/9/1995,4.993799
6/12/1995,4.963714
6/13/1995,5.114131
6/14/1995,5.084047
6/15/1995,5.144213
6/16/1995,5.234462
6/19/1995,5.294628
6/20/1995,5.324712
6/21/1995,5.294628
6/22/1995,5.264546
6/23/1995,5.294628
6/26/1995,5.174297
6/27/1995,4.873467
6/28/1995,4.813302
6/29/1995,4.873467
6/30/1995,4.723052
7/3/1995,4.753133
7/5/1995,4.84338
7/6/1995,5.023881
7/7/1995,5.114131
7/10/1995,5.384878
7/11/1995,5.384878
7/12/1995,5.475127
7/13/1995,5.354795
7/14/1995,5.144213
7/17/1995,5.204381
7/18/1995,5.204381
7/19/1995,5.234462
7/20/1995,5.414961
7/21/1995,5.445047
7/24/1995,5.475127
7/25/1995,5.595459
7/26/1995,5.565377
7/27/1995,5.68571
7/28/1995,5.77596
7/31/1995,5.715796
8/1/1995,5.715796
8/2/1995,5.715796
8/3/1995,5.655626
8/4/1995,5.705132
8/7/1995,5.886248
8/8/1995,5.73532
8/9/1995,5.705132
8/10/1995,5.493829
8/11/1995,5.584389
8/14/1995,5.705132
8/15/1995,5.73532
8/16/1995,6.037175
8/17/1995,6.127735
8/18/1995,6.24848
8/21/1995,6.24848
8/22/1995,6.218291
8/23/1995,6.278666
8/24/1995,6.24848
8/25/1995,6.24848
8/28/1995,6.097548
8/29/1995,6.15792
8/30/1995,6.308851
8/31/1995,6.278666
9/1/1995,6.520147
9/5/1995,6.671076
9/6/1995,6.580523
9/7/1995,6.731454
9/8/1995,6.822008
9/11/1995,6.91257
9/12/1995,6.882381
9/13/1995,6.942753
9/14/1995,7.123868
9/15/1995,7.003126
9/18/1995,6.671076
9/19/1995,6.550336
9/20/1995,6.671076
9/21/1995,6.852195
9/22/1995,6.852195
9/25/1995,6.640894
9/26/1995,6.640894
9/27/1995,6.459779
9/28/1995,6.610708
9/29/1995,7.093686
10/2/1995,6.91257
10/3/1995,6.822008
10/4/1995,6.791824
10/5/1995,6.942753
10/6/1995,6.882381
10/9/1995,6.731454
10/10/1995,6.550336
10/11/1995,6.580523
10/12/1995,6.610708
10/13/1995,6.942753
10/16/1995,6.882381
10/17/1995,6.701267
10/18/1995,6.429593
10/19/1995,6.550336
10/20/1995,6.399407
10/23/1995,6.429593
10/24/1995,6.339036
10/25/1995,6.127735
10/26/1995,6.15792
10/27/1995,6.339036
10/30/1995,6.127735
10/31/1995,5.916433
11/1/1995,6.188104
11/2/1995,6.369223
11/3/1995,6.388601
11/6/1995,6.449155
11/7/1995,6.418877
11/8/1995,6.539984
11/9/1995,6.570265
11/10/1995,6.449155
11/13/1995,6.418877
11/14/1995,6.297769
11/15/1995,6.085822
11/16/1995,6.176655
11/17/1995,6.116099
11/20/1995,5.964712
11/21/1995,5.783044
11/22/1995,5.692211
11/24/1995,5.783044
11/27/1995,5.722489
11/28/1995,5.692211
11/29/1995,5.752769
11/30/1995,6.116099
12/1/1995,6.206931
12/4/1995,6.388601
12/5/1995,6.479433
12/6/1995,6.328044
12/7/1995,6.237211
12/8/1995,6.146379
12/11/1995,6.176655
12/12/1995,6.055543
12/13/1995,6.025265
12/14/1995,5.692211
12/15/1995,5.722489
12/18/1995,5.601379
12/19/1995,5.783044
12/20/1995,5.661932
12/21/1995,5.783044
12/22/1995,5.873879
12/26/1995,5.873879
12/27/1995,5.843599
12/28/1995,5.722489
12/29/1995,5.783044
1/2/1996,5.661932
1/3/1996,5.904157
1/4/1996,5.722489
1/5/1996,5.752769
1/8/1996,5.843599
1/9/1996,5.783044
1/10/1996,5.449989
1/11/1996,5.5711
1/12/1996,5.419713
1/15/1996,5.298602
1/16/1996,5.389435
1/17/1996,5.783044
1/18/1996,5.934434
1/19/1996,6.055543
1/22/1996,6.206931
1/23/1996,6.328044
1/24/1996,6.055543
1/25/1996,6.449155
1/26/1996,6.358321
1/29/1996,6.297769
1/30/1996,6.297769
1/31/1996,6.509712
2/1/1996,6.479433
2/2/1996,6.620344
2/5/1996,6.43813
2/6/1996,6.31666
2/7/1996,6.377393
2/8/1996,6.43813
2/9/1996,6.529237
2/12/1996,6.468501
2/13/1996,6.711445
2/14/1996,6.711445
2/15/1996,6.529237
2/16/1996,6.498869
2/20/1996,6.31666
2/21/1996,6.347027
2/22/1996,6.498869
2/23/1996,6.620344
2/26/1996,6.559602
2/27/1996,6.407764
2/28/1996,6.468501
2/29/1996,6.498869
3/1/1996,6.407764
3/4/1996,6.498869
3/5/1996,6.498869
3/6/1996,6.43813
3/7/1996,6.377393
3/8/1996,5.861128
3/11/1996,6.073709
3/12/1996,6.012974
3/13/1996,5.952235
3/14/1996,6.104078
3/15/1996,6.012974
3/18/1996,6.31666
3/19/1996,6.620344
